match_id,home,away,label,market_source,mkt_p_A,mkt_p_D,mkt_p_H,elo_oof_A,elo_oof_D,elo_oof_H,mkt64_oof_A,mkt64_oof_D,mkt64_oof_H,blendA_oof_A,blendA_oof_D,blendA_oof_H
22,England,Croatia,H,polymarket,0.185,0.255,0.565,0.07266004867117956,0.35440864961386903,0.5729313017149514,0.18500000000000003,0.25499999999999995,0.5649999999999998,0.09549263256188176,0.34321409206489184,0.5612932753732264
23,Ghana,Panama,H,polymarket,0.265,0.275,0.465,0.15814369340161913,0.3396910268603279,0.5021652797380529,0.26500000000000007,0.27499999999999997,0.46499999999999997,0.15726423758985605,0.3319221548393783,0.5108136075707657
24,Uzbekistan,Colombia,A,polymarket,0.695,0.205,0.105,0.838539231705318,0.07683822558991873,0.08462254270476333,0.6950000000000001,0.20500000000000002,0.10500000000000001,0.6909868950010615,0.13884635258748412,0.17016675241145446
25,Mexico,South Korea,H,p_model,0.2538,0.2714,0.4747,0.10958916746081922,0.354617659783778,0.5357931727554026,0.2538,0.2713999999999999,0.4747,0.12423030248232876,0.3466372374111212,0.5291324601065499
26,Czechia,South Africa,D,polymarket,0.225,0.285,0.495,0.061733364721491726,0.35889346027640656,0.5793731750021016,0.22500000000000003,0.28500000000000003,0.495,0.11339181679291355,0.3415105536346398,0.5450976295724466
27,Canada,Qatar,H,polymarket,0.085,0.175,0.755,0.015659092576250592,0.31223953424539425,0.6721013731783552,0.08499999999999999,0.17500000000000002,0.755,0.031533667765860945,0.296636514012261,0.671829818221878
28,Switzerland,Bosnia and Herzegovina,H,p_model,0.1244,0.2219,0.6537,0.027460231811919228,0.3445767556628499,0.6279630125252309,0.1244,0.2219,0.6536999999999998,0.05930128365665412,0.33160034223007584,0.60909837411327
29,Brazil,Haiti,H,polymarket,0.0315,0.064,0.915,0.002220023392332596,0.3294265306823517,0.6683534459253158,0.03149999999999999,0.06400000000000002,0.9149999999999998,0.013938179015123554,0.2757955539164099,0.7102662670684665
30,Scotland,Morocco,A,polymarket,0.495,0.285,0.225,0.5814701463779437,0.19364019290705556,0.22488966071500083,0.495,0.28500000000000003,0.22500000000000003,0.419147335194303,0.26012199865046415,0.32073066615523294
31,USA,Australia,H,polymarket,0.205,0.245,0.555,0.05824040908082824,0.3647082808560969,0.577051310063075,0.20500000000000002,0.24500000000000005,0.5549999999999999,0.08209440056460947,0.34936725563896226,0.5685383437964283
